procedureName;procedureSequence;abbreviation;correspondance
ps_Exec_Immobilisation_NatureEcoExclusionD;2975;inee;xx_524_i29inee75d
ps_Exec_Immobilisation_NatureEcoExclusionI;3134;inee;xx_524_i31inee34i
ps_Exec_Immobilisation_Report;2797;imre;xx_524_i27imre97t
ps_Exec_Immobilisation_SL;3608;imsl;xx_524_i36imsl08l
ps_Exec_ImmobilisationFonction_SL;3157;ifsl;xx_524_i31ifsl57l
ps_Exec_ImmobilisationGenreSLByFonction;2098;igsb;xx_524_i20igsb98n
ps_Exec_ImmobilisationTypeMarqueByGenre;3597;itmb;xx_524_i35itmb97e
ps_Exec_ImmobilisationTypeOperation;3092;itop;xx_524_i30itop92n
ps_Exec_IndiceGroupeFonction_I;2124;igfi;xx_524_i21igfi24i
ps_Exec_IndiceZone_SL;1924;izsl;xx_524_i19izsl24l
ps_Exec_InsertFinex;2036;infi;xx_524_i20infi36x
ps_Exec_InsertSalaire;2264;insa;xx_524_i22insa64e
ps_Exec_Levee_D;3188;ledl;xx_524_l31ledl88d
ps_Exec_Levee_I;2660;leil;xx_524_l26leil60i
ps_Exec_Levee_U;2098;leul;xx_524_l20leul98u
ps_Exec_LeveeExo;3283;leex;xx_524_l32leex83o
ps_Exec_LeveeMorcel;2016;lemo;xx_524_l20lemo16l
ps_Exec_LigneDebloque;3421;lide;xx_524_l34lide21e
ps_Exec_List_Bons_A_Receptionner_Pour_Liquidation;2167;lbar;xx_524_l21lbar67n
ps_Exec_List_Bons_By_Bordereau_Transmission_Pour_Controle_Conformite;2725;lbbb;xx_524_l27lbbb25e
ps_Exec_List_Bons_By_Bordereau_Transmission_Pour_Liquidation;3296;lbbb;xx_524_l32lbbb96n
ps_Exec_List_Bons_Deja_Transmis_Pour_Liquidation;2623;lbdt;xx_524_l26lbdt23n
ps_Exec_List_Liquidations_AValider_By_Bon;2058;llav;xx_524_l20llav58n
ps_Exec_List_Liquidations_By_Bon;3092;llbb;xx_524_l30llbb92n
ps_Exec_List_Liquidations_NonCertifiees_By_Bon;2665;llnc;xx_524_l26llnc65n
ps_Exec_List_Liquidations_Validees_By_Bon;2476;llvb;xx_524_l24llvb76n
ps_Exec_List_Pieces_Of_Liquidation;3823;lpol;xx_524_l38lpol23n
ps_Exec_List_PiecesRapport_Of_Liquidation;2399;lpro;xx_524_l23lpro99n
ps_Exec_List_Rubriques_Of_Liquidation;3114;lrol;xx_524_l31lrol14n
ps_Exec_List_Rubriques_Of_Liquidation_ByProcedure;2822;lrol;xx_524_l28lrol22e
ps_Exec_ListeAeOuvert;3330;laou;xx_524_l33laou30t
ps_Exec_ListeAutDepNewAssigne;2859;ladn;xx_524_l28ladn59e
ps_Exec_ListeBordereauEmis;2962;lbem;xx_524_l29lbem62s
ps_Exec_ListeBordereauRecu;3787;lbre;xx_524_l37lbre87u
ps_Exec_ListeCarnetReconduit;3596;lcre;xx_524_l35lcre96t
ps_Exec_ListeCircuitByExerciceChapitre;3097;lcbe;xx_524_l30lcbe97e
ps_Exec_ListeCircuitEmission;2225;lcem;xx_524_l22lcem25n
ps_Exec_ListeContinents;3943;lico;xx_524_l39lico43s
ps_Exec_ListeContribuableEtranger;3853;lcet;xx_524_l38lcet53r
ps_Exec_ListeContribuableEtrangerReport;2046;lcer;xx_524_l20lcer46t
ps_Exec_listeCourrierDossier;2391;lcdo;xx_524_l23lcdo91r
ps_Exec_ListeCourrierDossierByExerciceChapitre;2838;lcdb;xx_524_l28lcdb38e
ps_Exec_ListeDeblocage;2582;lide;xx_524_l25lide82e
ps_Exec_ListeDemande;2572;lide;xx_524_l25lide72e
ps_Exec_ListeDossierEmisByNumBordereau;2070;ldeb;xx_524_l20ldeb70u
ps_Exec_ListeDossierEmisByNumBordereauAndPosteRecepteur;3268;ldeb;xx_524_l32ldeb68r
ps_Exec_ListeDossierRecuByNumBordereau;1947;ldrb;xx_524_l19ldrb47u
ps_Exec_ListeEngagementByChapitre;2495;lebc;xx_524_l24lebc95e
ps_Exec_ListeFonctionSecondaireSL;3259;lfss;xx_524_l32lfss59l
ps_Exec_ListeNumDeblocage;2048;lnde;xx_524_l20lnde48e
ps_Exec_ListePosteComptableByAutDep;3505;lpcb;xx_524_l35lpcb05p
ps_Exec_ListePosteTraitementAffecteByUser;3457;lpta;xx_524_l34lpta57r
ps_Exec_ListePosteTraitementByExoChapitre;3596;lptb;xx_524_l35lptb96e
ps_Exec_ListeSecteurSL;3934;lssl;xx_524_l39lssl34l
ps_Exec_ListingActeJurEnCours;2583;laje;xx_524_l25laje83s
ps_Exec_ListingActeJurReserve;2884;lajr;xx_524_l28lajr84e
ps_Exec_Marche_Decompte;3435;made;xx_524_m34made35e
ps_Exec_Marche_Transmission;2603;matr;xx_524_m26matr03n
ps_Exec_Marche_Transmission_List;2005;mtli;xx_524_m20mtli05t
ps_Exec_Marche_Transmission_Report;3548;mtre;xx_524_m35mtre48t
ps_Exec_Matricielle_AvisDeCredit;3689;madc;xx_524_m36madc89t
ps_Exec_Matricielle_AvisDeCredit_Cautionnement;2781;madc;xx_524_m27madc81t
ps_Exec_Matricielle_AvisDeCredit_RetenueGarantie;3060;madc;xx_524_m30madc60e
ps_Exec_Matricielle_BonCaisse;3536;mbca;xx_524_m35mbca36e
ps_Exec_Matricielle_OrdreVirement;2329;movi;xx_524_m23movi29t
ps_Exec_MatricielleActeJuridiqueTitre;1936;majt;xx_524_m19majt36e
ps_Exec_MatricielleAutDep_Rpt;2578;madr;xx_524_m25madr78t
ps_Exec_MatricielleBonTitre;3619;mbti;xx_524_m36mbti19e
ps_Exec_MatricielleBonTitreLiquide;3755;mbtl;xx_524_m37mbtl55e
ps_Exec_Mercuriale_F;3949;mefm;xx_524_m39mefm49f
ps_Exec_Mercuriale_SL;3554;mesl;xx_524_m35mesl54l
ps_Exec_MercurialeArticle_I;2441;maim;xx_524_m24maim41i
ps_Exec_MercurialeArticle_InitNonRef;2073;main;xx_524_m20main73f
ps_Exec_MercurialeArticlesById;3893;mabi;xx_524_m38mabi93d
ps_Exec_MercurialeGetArticles;3214;mgar;xx_524_m32mgar14s
ps_Exec_MercurialeGetLocalites;3172;mglo;xx_524_m31mglo72s
ps_Exec_MercurialeGetLocalitesById;2518;mglb;xx_524_m25mglb18d
ps_Exec_MercurialeGetRubrique;3505;mgru;xx_524_m35mgru05e
ps_Exec_MercurialeGetRubriquesRegion;1986;mgrr;xx_524_m19mgrr86n
ps_Exec_MercurialeGetSousRubrique;3647;mgsr;xx_524_m36mgsr47e
ps_Exec_MercurialePeriodeGetPeriodes;2983;mpgp;xx_524_m29mpgp83s
ps_Exec_Minepat_BudgetisationPG;3732;mbpg;xx_524_m37mbpg32g
ps_Exec_Minepat_Elements2ContenuAC;2298;me2c;xx_524_m22me2c98c
ps_Exec_Minepat_Pointage;2598;mipo;xx_524_m25mipo98e
ps_Exec_Minepat_PointageRegion;2254;mpre;xx_524_m22mpre54n
ps_Exec_MinepatDepenseARPA;3203;mdar;xx_524_m32mdar03a
ps_Exec_MinepatDepenseCHIM;3379;mdch;xx_524_m33mdch79m
ps_Exec_MinepatDepenseChPgAcPj;3381;mdcp;xx_524_m33mdcp81j
ps_Exec_MinepatJournalFinancier678;3826;mjf6;xx_524_m38mjf6268
ps_Exec_MinepatJournalProjetChIm;3415;mjpc;xx_524_m34mjpc15m
ps_Exec_MinepatJournalProjetChPgAcPj;3789;mjpc;xx_524_m37mjpc89j
ps_Exec_MinepatJournalProjetChPgAcRg;3445;mjpc;xx_524_m34mjpc45g
ps_Exec_MinepatSyntheseCoutPG;3973;mscp;xx_524_m39mscp73g
ps_Exec_Mise_A_Disposition;1973;madi;xx_524_m19madi73n
